anomaly_region_id,start_time,end_time,points,max_score,mean_score,cpu_mean,voltage_mean,relation_signal_mean,cpu_score_mean,voltage_score_mean
1,2025-10-16 05:03:00,2025-10-16 05:14:00,23,1.0,1.0,18.166170434782607,12.016695652173913,-339.65050938430534,0.6334920060869565,0.7361095886956524
2,2025-10-16 05:24:00,2025-10-16 06:10:00,93,1.0,1.0,0.21953227956989257,12.096000000000002,-529.1245143431574,0.5618854723655914,1.1826796999999993
3,2025-10-16 06:11:30,2025-10-16 06:12:00,2,1.0,1.0,0.09971749999999695,12.096,-530.3959537740761,0.38194411,1.1826797
4,2025-10-16 06:13:00,2025-10-16 07:02:00,99,1.0,1.0,0.1465632828282831,12.096000000000002,-529.8988400150395,0.5864240117171717,1.1826796999999996
5,2025-10-16 07:04:30,2025-10-16 07:06:00,4,1.0,1.0,0.10075900000000355,12.096,-530.3849016804024,0.4572906275,1.1826797
6,2025-10-16 07:08:00,2025-10-16 07:10:00,5,1.0,1.0,0.10006380000000088,12.096,-530.392278939665,0.37705628999999996,1.1826797
7,2025-10-16 07:11:30,2025-10-16 07:29:00,36,1.0,1.0,0.16343891666666638,12.096,-529.7197607198066,0.6488547072222223,1.1826797000000002
8,2025-10-16 07:31:30,2025-10-16 07:34:00,6,1.0,1.0,0.09682466666666535,12.096000000000002,-530.4266516761236,0.4162345316666667,1.1826796999999998
9,2025-10-16 07:39:00,2025-10-16 08:12:00,67,1.0,1.0,0.13517183582089518,12.096000000000002,-530.0197227221013,0.6165504697014926,1.1826796999999996
10,2025-10-16 08:14:30,2025-10-16 08:41:30,55,1.0,1.0,0.14193663636363513,12.096000000000002,-529.9479366354165,0.5912944823636365,1.1826797
11,2025-10-16 08:43:30,2025-10-16 09:26:00,86,1.0,1.0,0.15408522093023283,12.096000000000002,-529.8190194058119,0.6152054313953489,1.1826796999999993
12,2025-10-16 09:27:30,2025-10-16 09:37:00,20,1.0,1.0,0.09937054999999968,12.096,-530.3996355060972,0.4272471265000001,1.1826797000000002
13,2025-10-16 09:40:00,2025-10-16 09:56:30,34,1.0,1.0,0.16563338235294153,12.096,-529.6964736911667,0.6727485897058824,1.1826797
14,2025-10-16 09:59:30,2025-10-16 10:56:30,115,1.0,1.0,0.1398153478260866,12.096000000000002,-529.9704471295364,0.6237695213043476,1.1826796999999996
15,2025-10-16 11:01:30,2025-10-16 11:02:00,2,1.0,1.0,0.10076049999999975,12.096,-530.3848857628408,0.3726899,1.1826797
16,2025-10-16 11:05:00,2025-10-16 11:27:00,45,1.0,1.0,0.15142646666666776,12.096000000000002,-529.8472333291688,0.5932040308888887,1.1826797
17,2025-10-16 11:34:00,2025-10-16 11:43:30,20,1.0,1.0,0.10041264999999977,12.096,-530.388577045399,0.529791391,1.1826797000000002
18,2025-10-16 11:44:30,2025-10-16 12:06:30,45,1.0,1.0,0.15149057777777808,12.096000000000002,-529.8465530007911,0.6388064146666667,1.1826797
19,2025-10-16 12:16:30,2025-10-16 12:27:00,22,1.0,1.0,0.203673090909092,12.096000000000002,-529.2928074191713,0.80201281,1.1826797000000004
