timestamp,cpu,voltage,cpu_z,voltage_z,relation_signal,label,mdissid_similarity_score,mdissid_threshold,is_anomaly,mdissid_dim0_score,mdissid_dim1_score,anomaly_region_id
2025-10-16 03:12:00,37.400746,12.0,-136.91791007601893,1.174785691940914,-135.74312438407802,0,0.0,0.5,0,0.08123355,0.14264221,-1
2025-10-16 03:12:30,35.096886999999995,12.0,-161.365788596448,1.174785691940914,-160.1910029045071,0,0.0,0.5,0,0.14900684,0.14200841,-1
2025-10-16 03:13:00,32.16477999999999,12.0,-192.48045131881932,1.174785691940914,-191.3056656268784,0,0.0,0.5,0,0.1835686,0.17355509,-1
2025-10-16 03:13:30,33.970516,12.0,-173.3185085228558,1.174785691940914,-172.1437228309149,0,0.0,0.5,0,0.15772602,0.21514231,-1
2025-10-16 03:14:00,37.063803,12.0,-140.49345073727852,1.174785691940914,-139.3186650453376,0,0.0,0.5,0,0.07599424,0.2145409,-1
2025-10-16 03:14:30,35.859108000000006,12.0,-153.27732206541452,1.174785691940914,-152.1025363734736,0,0.0,0.5,0,0.1380648,0.20661223,-1
2025-10-16 03:15:00,32.905276,11.904,-184.62252413974116,0.0,-184.62252413974116,0,0.0,0.5,0,0.16946593,0.22465104,-1
2025-10-16 03:15:30,33.391959,12.0,-179.45798635250767,1.174785691940914,-178.28320066056676,0,0.0,0.5,0,0.16036831,0.16210246,-1
2025-10-16 03:16:00,37.071902,12.0,-140.4075065158062,1.174785691940914,-139.2327208238653,0,0.0,0.5,0,0.095995225,0.14213528,-1
2025-10-16 03:16:30,36.644497,12.0,-144.94300348807056,1.174785691940914,-143.76821779612965,0,0.0,0.5,0,0.13047588,0.1830603,-1
2025-10-16 03:17:00,32.562658,12.0,-188.25828624276588,1.174785691940914,-187.08350055082497,0,0.0,0.5,0,0.16106018,0.24141376,-1
2025-10-16 03:17:30,32.283278,12.0,-191.22298516793333,1.174785691940914,-190.04819947599242,0,0.0,0.5,0,0.16028577,0.25218442,-1
2025-10-16 03:18:00,37.196784,12.0,-139.08229522232506,1.174785691940914,-137.90750953038415,0,0.0,0.5,0,0.070086665,0.26257375,-1
2025-10-16 03:18:30,37.460038,12.0,-136.2887206971406,1.174785691940914,-135.1139350051997,0,0.0,0.5,0,0.10851146,0.2896183,-1
