timestamp,cpu,voltage,cpu_z,voltage_z,relation_signal,label
2025-10-15 04:53:30,33.331704,11.904,-180.09739480599742,0.0,-180.09739480599742,0
2025-10-15 04:54:00,32.991260999999994,12.0,-183.71007644455716,1.174785691940914,-182.53529075261625,0
2025-10-15 04:54:30,36.9868,12.0,-141.31058407300287,1.174785691940914,-140.13579838106196,0
2025-10-15 04:55:00,37.133345,11.904,-139.75549135345008,0.0,-139.75549135345008,0
2025-10-15 04:55:30,32.968284,11.904,-183.95390165467802,0.0,-183.95390165467802,0
2025-10-15 04:56:00,32.774963,11.904,-186.0053676182842,0.0,-186.0053676182842,0
2025-10-15 04:56:30,37.348522,12.0,-137.47209590416674,1.174785691940914,-136.29731021222582,0
2025-10-15 04:57:00,37.555596,12.0,-135.27468712318696,1.174785691940914,-134.09990143124605,0
2025-10-15 04:57:30,33.043715000000006,12.0,-183.15344992361517,1.174785691940914,-181.97866423167426,0
2025-10-15 04:58:00,32.480226,12.0,-189.13303054013647,1.174785691940914,-187.95824484819556,0
2025-10-15 04:58:30,36.960278,12.0,-141.5920277872748,1.174785691940914,-140.41724209533388,0
2025-10-15 04:59:00,38.150896,12.0,-128.95753746983948,1.174785691940914,-127.78275177789857,0
2025-10-15 04:59:30,33.217826,12.0,-181.30583486684722,1.174785691940914,-180.1310491749063,0
2025-10-15 05:00:00,32.192603000000005,11.904,-192.18520177269943,0.0,-192.18520177269943,0
2025-10-15 05:00:30,36.148979,12.0,-150.2012957137172,1.174785691940914,-149.0265100217763,0
2025-10-15 05:01:00,37.644287,11.904,-134.33352414669608,0.0,-134.33352414669608,0
2025-10-15 05:01:30,34.099355,12.0,-171.95130670161,1.174785691940914,-170.7765210096691,0
2025-10-15 05:02:00,32.050003000000004,12.0,-193.69843130498123,1.174785691940914,-192.52364561304032,0
2025-10-15 05:02:30,35.233316,12.0,-159.91804391300002,1.174785691940914,-158.7432582210591,0
2025-10-15 05:03:00,37.841433,12.0,-132.24146840075477,1.174785691940914,-131.06668270881386,0
2025-10-15 05:03:30,35.149854000000005,11.904,-160.80371826940464,0.0,-160.80371826940464,0
2025-10-15 05:04:00,32.392587000000006,12.0,-190.0630300000217,1.174785691940914,-188.8882443080808,0
2025-10-15 05:04:30,34.104778,12.0,-171.89375941021052,1.174785691940914,-170.7189737182696,0
2025-10-15 05:05:00,37.049426,12.0,-140.64601526031933,1.174785691940914,-139.47122956837842,0
2025-10-15 05:05:30,36.152884,11.904,-150.15985699475812,0.0,-150.15985699475812,0
2025-10-15 05:06:00,32.957491000000005,11.904,-184.06843381696348,0.0,-184.06843381696348,0
2025-10-15 05:06:30,32.912206,12.0,-184.5489850046871,1.174785691940914,-183.37419931274619,0
2025-10-15 05:07:00,37.163315,12.0,-139.4374584706837,1.174785691940914,-138.2626727787428,0
2025-10-15 05:07:30,37.108572,11.904,-140.01837519077975,0.0,-140.01837519077975,0
2025-10-15 05:08:00,32.887674000000004,12.0,-184.80931142043696,1.174785691940914,-183.63452572849604,0
2025-10-15 05:08:30,32.298410000000004,12.0,-191.0624088055035,1.174785691940914,-189.8876231135626,0
2025-10-15 05:09:00,36.907333,12.0,-142.15386465674646,1.174785691940914,-140.97907896480555,0
2025-10-15 05:09:30,37.58578,12.0,-134.9543833349514,1.174785691940914,-133.77959764301048,0
2025-10-15 05:10:00,32.761379000000005,12.0,-186.1495170570395,1.174785691940914,-184.9747313650986,0
2025-10-15 05:10:30,32.390866,12.0,-190.08129274914558,1.174785691940914,-188.90650705720466,0
2025-10-15 05:11:00,37.469598,12.0,-136.18727277057246,1.174785691940914,-135.01248707863155,0
2025-10-15 05:11:30,37.979855,11.904,-130.77257458366145,0.0,-130.77257458366145,0
2025-10-15 05:12:00,33.116715,12.0,-182.37879525421434,1.174785691940914,-181.20400956227343,0
2025-10-15 05:12:30,32.43066,12.0,-189.65901044895188,1.174785691940914,-188.48422475701096,0
2025-10-15 05:13:00,36.20986,12.0,-149.55524433114462,1.174785691940914,-148.3804586392037,0
2025-10-15 05:13:30,37.809224,12.0,-132.58326089728538,1.174785691940914,-131.40847520534447,0
2025-10-15 05:14:00,34.060174,12.0,-172.3670840249223,1.174785691940914,-171.19229833298138,0
2025-10-15 05:14:30,32.317133,12.0,-190.86372580036394,1.174785691940914,-189.68894010842303,0
2025-10-15 05:15:00,35.111422000000005,12.0,-161.2115474235747,1.174785691940914,-160.0367617316338,0
2025-10-15 05:15:30,37.468252,12.0,-136.20155612927127,1.174785691940914,-135.02677043733036,0
2025-10-15 05:16:00,35.632136,11.904,-155.68588260819902,0.0,-155.68588260819902,0
2025-10-15 05:16:30,32.815088,11.904,-185.57957284280866,0.0,-185.57957284280866,0
2025-10-15 05:17:00,33.66322099999999,12.0,-176.57943327126077,1.174785691940914,-175.40464757931986,0
2025-10-15 05:17:30,37.107063,12.0,-140.03438825785003,1.174785691940914,-138.8596025659091,0
2025-10-15 05:18:00,36.57015,12.0,-145.73195212787812,1.174785691940914,-144.5571664359372,0
2025-10-15 05:18:30,33.004785,12.0,-183.56656370826974,1.174785691940914,-182.39177801632883,0
2025-10-15 05:19:00,32.670143,12.0,-187.11768682988148,1.174785691940914,-185.94290113794057,0
2025-10-15 05:19:30,37.446803,12.0,-136.4291666498737,1.174785691940914,-135.2543809579328,0
2025-10-15 05:20:00,37.869856,12.0,-131.93985182995505,1.174785691940914,-130.76506613801413,0
2025-10-15 05:20:30,32.94257399999999,12.0,-184.22672866221637,1.174785691940914,-183.05194297027546,0
2025-10-15 05:21:00,32.490859,12.0,-189.02019625109895,1.174785691940914,-187.84541055915804,0
2025-10-15 05:21:30,37.134372,12.0,-139.74459312953945,1.174785691940914,-138.56980743759854,0
2025-10-15 05:22:00,38.009221,12.0,-130.46095117240634,1.174785691940914,-129.28616548046543,0
2025-10-15 05:22:30,33.231139,12.0,-181.1645612009057,1.174785691940914,-179.98977550896478,0
2025-10-15 05:23:00,32.168037,12.0,-192.4458889865146,1.174785691940914,-191.2711032945737,0
2025-10-15 05:23:30,35.88181899999999,12.0,-153.0363195695686,1.174785691940914,-151.8615338776277,0
2025-10-15 05:24:00,37.731081,12.0,-133.41249157990174,1.174785691940914,-132.23770588796083,0
2025-10-15 05:24:30,34.134514,12.0,-171.57820966706936,1.174785691940914,-170.40342397512845,0
2025-10-15 05:25:00,31.861262999999997,12.0,-195.70128503515565,1.174785691940914,-194.52649934321474,0
2025-10-15 05:25:30,34.981843999999995,12.0,-162.58659129688482,1.174785691940914,-161.4118056049439,0
2025-10-15 05:26:00,37.663936,12.0,-134.12501470013362,1.174785691940914,-132.9502290081927,0
2025-10-15 05:26:30,35.952912,11.904,-152.28190142694226,0.0,-152.28190142694226,0
2025-10-15 05:27:00,33.149607,11.904,-182.0297549612563,0.0,-182.0297549612563,0
2025-10-15 05:27:30,34.208415,12.0,-170.79399384894063,1.174785691940914,-169.61920815699972,0
2025-10-15 05:28:00,37.888646,12.0,-131.7404578403928,1.174785691940914,-130.56567214845188,0
2025-10-15 05:28:30,36.724397,12.0,-144.09512803484955,1.174785691940914,-142.92034234290864,0
2025-10-15 05:29:00,33.413591,11.904,-179.22843388937784,0.0,-179.22843388937784,0
2025-10-15 05:29:30,35.173122000000006,12.0,-160.55680505231393,1.174785691940914,-159.38201936037302,0
2025-10-15 05:30:00,37.583217,12.0,-134.98158114204284,1.174785691940914,-133.80679545010193,0
2025-10-15 05:30:30,35.33774699999999,12.0,-158.809852655737,1.174785691940914,-157.63506696379608,0
2025-10-15 05:31:00,32.608194999999995,11.904,-187.77506090467674,0.0,-187.77506090467674,0
2025-10-15 05:31:30,34.016388000000006,12.0,-172.8317282626536,1.174785691940914,-171.6569425707127,0
2025-10-15 05:32:00,37.270103,12.0,-138.30425541813597,1.174785691940914,-137.12946972619505,0
2025-10-15 05:32:30,36.591008,12.0,-145.5106131265854,1.174785691940914,-144.3358274346445,0
2025-10-15 05:33:00,33.300077,11.904,-180.4330112885884,0.0,-180.4330112885884,0
2025-10-15 05:33:30,32.81456,12.0,-185.5851758245271,1.174785691940914,-184.4103901325862,0
2025-10-15 05:34:00,37.519823,12.0,-135.65429974631678,1.174785691940914,-134.47951405437587,0
2025-10-15 05:34:30,38.056646,12.0,-129.9576909299907,1.174785691940914,-128.78290523804978,0
2025-10-15 05:35:00,33.076665000000006,12.0,-182.80379415160476,1.174785691940914,-181.62900845966385,0
2025-10-15 05:35:30,32.625247,12.0,-187.59411006327085,1.174785691940914,-186.41932437132994,0
2025-10-15 05:36:00,37.279629,11.904,-138.20316828963303,0.0,-138.20316828963303,0
2025-10-15 05:36:30,38.055332,12.0,-129.9716347140399,1.174785691940914,-128.796849022099,0
2025-10-15 05:37:00,33.268193,12.0,-180.77135498008406,1.174785691940914,-179.59656928814314,0
2025-10-15 05:37:30,32.312681,12.0,-190.91096912348962,1.174785691940914,-189.7361834315487,0
2025-10-15 05:38:00,36.184413,12.0,-149.82528045953154,1.174785691940914,-148.65049476759063,0
2025-10-15 05:38:30,37.768874,12.0,-133.01144330701592,1.174785691940914,-131.836657615075,0
2025-10-15 05:39:00,34.362397,12.0,-169.1599818584791,1.174785691940914,-167.9851961665382,0
2025-10-15 05:39:30,32.482288999999994,11.904,-189.11113858694512,0.0,-189.11113858694512,0
2025-10-15 05:40:00,35.045809000000006,12.0,-161.90781340745693,1.174785691940914,-160.73302771551602,0
2025-10-15 05:40:30,37.523963,12.0,-135.61036727602476,1.174785691940914,-134.43558158408385,0
2025-10-15 05:41:00,35.742011000000005,12.0,-154.5199212136726,1.174785691940914,-153.3451355217317,0
2025-10-15 05:41:30,32.889301,12.0,-184.79204617184632,1.174785691940914,-183.6172604799054,0
2025-10-15 05:42:00,33.939263,12.0,-173.65015622672965,1.174785691940914,-172.47537053478874,0
2025-10-15 05:42:30,37.197406,11.904,-139.07569474007346,0.0,-139.07569474007346,0
2025-10-15 05:43:00,36.565329,12.0,-145.783111171182,1.174785691940914,-144.60832547924107,0
2025-10-15 05:43:30,33.2873,12.0,-180.56859707914916,1.174785691940914,-179.39381138720825,0
2025-10-15 05:44:00,33.200770000000006,12.0,-181.48682815508423,1.174785691940914,-180.3120424631433,0
2025-10-15 05:44:30,37.296409,12.0,-138.02510383274884,1.174785691940914,-136.85031814080793,0
2025-10-15 05:45:00,37.374465,11.904,-137.19679636871103,0.0,-137.19679636871103,0
2025-10-15 05:45:30,33.079904,12.0,-182.76942283004058,1.174785691940914,-181.59463713809967,0
2025-10-15 05:46:00,32.745272,11.904,-186.3204398345744,0.0,-186.3204398345744,0
2025-10-15 05:46:30,37.440735,12.0,-136.49355849280425,1.174785691940914,-135.31877280086334,0
2025-10-15 05:47:00,37.805518,12.0,-132.62258788639224,1.174785691940914,-131.44780219445133,0
2025-10-15 05:47:30,33.214428,12.0,-181.34189344995173,1.174785691940914,-180.16710775801081,0
2025-10-15 05:48:00,32.447182999999995,12.0,-189.48367320097236,1.174785691940914,-188.30888750903145,0
2025-10-15 05:48:30,37.170363,12.0,-139.36266715410918,1.174785691940914,-138.18788146216826,0
2025-10-15 05:49:00,37.806883,12.0,-132.60810290524523,1.174785691940914,-131.43331721330432,0
2025-10-15 05:49:30,32.712383,12.0,-186.66944829240896,1.174785691940914,-185.49466260046805,0
2025-10-15 05:50:00,32.18286500000001,12.0,-192.28853858325593,1.174785691940914,-191.11375289131502,0
2025-10-15 05:50:30,37.320688,12.0,-137.76746217907234,1.174785691940914,-136.59267648713143,0
2025-10-15 05:51:00,38.017534,12.0,-130.37273604546482,1.174785691940914,-129.1979503535239,0
2025-10-15 05:51:30,33.103303999999994,12.0,-182.52110886752035,1.174785691940914,-181.34632317557944,0
2025-10-15 05:52:00,32.431264,11.904,-189.65260097744073,0.0,-189.65260097744073,0
2025-10-15 05:52:30,37.446149,12.0,-136.43610670677495,1.174785691940914,-135.26132101483404,0
