,cpu,voltage,label
0,33.331704,11.904,0
1,32.991260999999994,12.0,0
2,36.9868,12.0,0
3,37.133345,11.904,0
4,32.968284,11.904,0
5,32.774963,11.904,0
6,37.348522,12.0,0
7,37.555596,12.0,0
8,33.043715000000006,12.0,0
9,32.480226,12.0,0
10,36.960278,12.0,0
11,38.150896,12.0,0
12,33.217826,12.0,0
13,32.192603000000005,11.904,0
14,36.148979,12.0,0
15,37.644287,11.904,0
16,34.099355,12.0,0
17,32.050003000000004,12.0,0
18,35.233316,12.0,0
19,37.841433,12.0,0
20,35.149854000000005,11.904,0
21,32.392587000000006,12.0,0
22,34.104778,12.0,0
23,37.049426,12.0,0
24,36.152884,11.904,0
25,32.957491000000005,11.904,0
26,32.912206,12.0,0
27,37.163315,12.0,0
28,37.108572,11.904,0
29,32.887674000000004,12.0,0
30,32.298410000000004,12.0,0
31,36.907333,12.0,0
32,37.58578,12.0,0
33,32.761379000000005,12.0,0
34,32.390866,12.0,0
35,37.469598,12.0,0
36,37.979855,11.904,0
37,33.116715,12.0,0
38,32.43066,12.0,0
39,36.20986,12.0,0
40,37.809224,12.0,0
41,34.060174,12.0,0
42,32.317133,12.0,0
43,35.111422000000005,12.0,0
44,37.468252,12.0,0
45,35.632136,11.904,0
46,32.815088,11.904,0
47,33.66322099999999,12.0,0
48,37.107063,12.0,0
49,36.57015,12.0,0
50,33.004785,12.0,0
51,32.670143,12.0,0
52,37.446803,12.0,0
53,37.869856,12.0,0
54,32.94257399999999,12.0,0
55,32.490859,12.0,0
56,37.134372,12.0,0
57,38.009221,12.0,0
58,33.231139,12.0,0
59,32.168037,12.0,0
60,35.88181899999999,12.0,0
61,37.731081,12.0,0
62,34.134514,12.0,0
63,31.861263,12.0,0
64,34.981843999999995,12.0,0
65,37.663936,12.0,0
66,35.952912,11.904,0
67,33.149607,11.904,0
68,34.208415,12.0,0
69,37.888646,12.0,0
70,36.724397,12.0,0
71,33.413591,11.904,0
72,35.173122000000006,12.0,0
73,37.583217,12.0,0
74,35.33774699999999,12.0,0
75,32.608194999999995,11.904,0
76,34.016388000000006,12.0,0
77,37.270103,12.0,0
78,36.591008,12.0,0
79,33.300077,11.904,0
80,32.81456,12.0,0
81,37.519823,12.0,0
82,38.056646,12.0,0
83,33.076665000000006,12.0,0
84,32.625247,12.0,0
85,37.279629,11.904,0
86,38.055332,12.0,0
87,33.268193,12.0,0
88,32.312681,12.0,0
89,36.184413,12.0,0
90,37.768874,12.0,0
91,34.362397,12.0,0
92,32.482288999999994,11.904,0
93,35.045809000000006,12.0,0
94,37.523963,12.0,0
95,35.742011000000005,12.0,0
96,32.889301,12.0,0
97,33.939263,12.0,0
98,37.197406,11.904,0
99,36.565329,12.0,0
100,33.2873,12.0,0
101,33.200770000000006,12.0,0
102,37.296409,12.0,0
103,37.374465,11.904,0
104,33.079904,12.0,0
105,32.745272,11.904,0
106,37.440735,12.0,0
107,37.805518,12.0,0
108,33.214428,12.0,0
109,32.447182999999995,12.0,0
110,37.170363,12.0,0
111,37.806883,12.0,0
112,32.712383,12.0,0
113,32.18286500000001,12.0,0
114,37.320688,12.0,0
115,38.017534,12.0,0
116,33.103303999999994,12.0,0
117,32.431264,11.904,0
118,37.446149,12.0,0
119,37.983499,11.904,0
120,32.858669000000006,12.0,0
121,32.412104,12.0,0
122,37.271965,12.0,0
123,37.741769,12.0,0
124,33.08461200000001,12.0,0
125,32.517683000000005,12.0,0
126,37.003737,12.0,0
127,38.050987,12.0,0
128,33.18019,12.0,0
129,32.207871999999995,12.0,0
130,36.52245,12.0,0
131,38.056049,12.0,0
132,34.017104,11.904,0
133,32.156240999999994,12.0,0
134,35.575042,11.904,0
135,37.936269,12.0,0
136,34.820060999999995,12.0,0
137,32.278265000000005,12.0,0
138,34.143412999999995,12.0,0
139,37.469302,12.0,0
140,35.8836,12.0,0
141,32.901917999999995,12.0,0
142,33.566520999999995,12.0,0
143,37.199071,12.0,0
144,36.902912,12.0,0
145,33.29096,12.0,0
146,32.75335,12.0,0
147,37.363129,11.904,0
148,37.83568,11.904,0
149,32.963898,11.904,0
150,32.555460999999994,11.904,0
151,37.144955,11.904,0
152,37.855261,12.0,0
153,33.236794,12.0,0
154,32.079966,12.0,0
155,35.927696,12.0,0
156,37.737619,12.0,0
157,34.207947000000004,12.0,0
158,32.435678,12.0,0
159,34.893454000000006,12.0,0
160,37.297725,12.0,0
161,35.720234000000005,12.0,0
162,32.802532,12.0,0
163,33.396023,12.0,0
164,36.972983,12.0,0
165,36.60683,12.0,0
166,32.963224,12.0,0
167,32.650026,12.0,0
168,37.373194,12.0,0
169,37.860782,12.0,0
170,32.995729,12.0,0
171,32.547236,12.0,0
172,37.017427,12.0,0
173,37.985028,12.0,0
174,33.453765000000004,12.0,0
175,32.190796000000006,12.0,0
176,35.728201,12.0,0
177,37.740667,12.0,0
178,34.767925000000005,12.0,0
179,32.360028,12.0,0
180,31.507931,12.0,0
181,19.618943,12.0,0
182,8.592094000000003,12.0,0
183,8.836956999999998,12.0,0
184,13.172619999999997,12.0,0
185,28.975072999999995,12.0,0
186,38.204063,12.0,0
187,33.411773,12.0,0
188,32.311781,12.0,0
189,35.95544099999999,12.0,0
190,37.704631,12.0,0
191,34.689111999999994,12.0,0
192,32.424722,12.0,0
193,34.739194,12.0,0
194,37.270519,12.0,0
195,35.564491000000004,12.0,0
196,32.88381699999999,12.0,0
197,33.643522000000004,12.0,0
198,37.333986,11.904,0
199,36.916532,12.0,0
200,32.900932,12.0,0
201,32.630182000000005,12.0,0
202,37.382072,11.904,0
203,37.611391,12.0,0
204,33.048332,12.0,0
205,32.661745999999994,12.0,0
206,36.808011,11.904,0
207,37.939385,11.904,0
208,33.426073,12.0,0
209,32.230523000000005,12.0,0
210,35.868669999999995,12.0,0
211,37.747696,11.904,0
212,34.900398,12.0,0
213,32.315062999999995,12.0,0
214,34.400268,12.0,0
215,37.357752,12.0,0
216,35.906364,12.0,0
217,33.118605,12.0,0
218,33.561051000000006,12.0,0
219,37.111953,12.0,0
220,37.040455,12.0,0
221,33.160419000000005,12.0,0
222,32.665499,11.904,0
223,37.155678,12.0,0
224,37.602237,12.0,0
225,33.135537,12.0,0
226,32.363800999999995,12.0,0
227,37.000042,12.0,0
228,38.329931,12.0,0
229,33.327509000000006,12.0,0
230,32.100187000000005,12.0,0
231,35.717431000000005,12.0,0
232,37.653642,12.0,0
233,34.749561,12.0,0
234,32.20821599999999,12.0,0
235,34.353106999999994,12.0,0
236,37.241263,12.0,0
237,35.668964,12.0,0
238,32.82052,12.0,0
239,33.543097,12.0,0
240,37.122881,11.904,0
241,36.901168,12.0,0
242,33.075978000000006,12.0,0
243,32.679460000000006,12.0,0
244,37.32967,12.0,0
245,37.808555,12.0,0
246,33.128012,12.0,0
247,32.315937000000005,12.0,0
248,37.368601,12.0,0
249,38.129039,12.0,0
250,32.705027,12.0,0
251,32.128772,12.0,0
252,36.562061,12.0,0
253,38.031725,12.0,0
254,33.923784,12.0,0
255,32.17222700000001,12.0,0
256,35.509908,12.0,0
257,37.850856,12.0,0
258,35.135891,12.0,0
259,32.467832,12.0,0
260,34.201342999999994,12.0,0
261,37.050138,11.904,0
